item_id,item_name,category,region,date,stock_units,reorder_point,below_reorder,waste_units,shrinkage_pct
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-01-01,51,75,True,0,0.0068
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-01-08,115,75,False,0,0.0119
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-01-15,55,75,True,2,0.0121
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-01-22,95,75,False,3,0.011
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-01-29,73,75,True,2,0.0281
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-02-05,50,75,True,2,0.0375
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-02-12,37,75,True,1,0.0317
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-02-19,19,75,True,1,0.0217
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-02-26,66,75,True,1,0.0191
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-03-05,127,75,False,2,0.0185
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-03-12,88,75,False,1,0.026
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-03-19,67,75,True,0,0.0176
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-03-26,59,75,True,1,0.0129
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-04-02,94,75,False,2,0.0261
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-04-09,27,75,True,1,0.0187
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-04-16,99,75,False,4,0.0055
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-04-23,112,75,False,5,0.0058
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-04-30,147,75,False,5,0.0146
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-05-07,17,75,True,0,0.0229
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-05-14,76,75,False,1,0.0174
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-05-21,77,75,False,0,0.0058
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-05-28,37,75,True,1,0.0128
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-06-04,98,75,False,2,0.0084
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-06-11,121,75,False,4,0.0382
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-06-18,140,75,False,1,0.0159
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-06-25,108,75,False,4,0.0055
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-07-02,58,75,True,1,0.0281
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-07-09,21,75,True,1,0.0131
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-07-16,10,75,True,0,0.0248
INV-001,Espresso Beans - Dark Roast,Ingredients,Northeast,2023-07-23,103,75,False,3,0.0103
